ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
0.175304,1.18083,4482,1.71477,0.632678,0.472047,0.0211737,0.296146,0.0126453,0.145844,0.00390731,0.191745,0.0487423,0.632678,2,0.00026401,0,1.71354,2,0.03125,0.190766,0.190766,0.00577094,5,0.00746528,4.37784,4263249,4,4,0,1,8,150,4,0.4,0.2,0.75,2605056.0,108544.0
0.295573,3.50577,13225,1.90427,3.28964,1.40802,0.0752899,0.868812,0.0445769,0.430469,0.00891027,0.578803,0.141351,3.28964,3,0.000314433,0,2.90625,3,0.00911458,0.388495,0.388495,0.0111136,9,0.00276228,10.8129,4269302,5,4,0,1,8,150,8,0.5,0.2,0.75,2600960.0,67584.0
0.279496,0.285598,1080,3.13768,0.152141,0.119094,0.00567047,0.0705562,0.00365874,0.0354266,0.00279273,0.0468536,0.0123113,0.152141,0,9.82182e-05,0,0.00651042,0,0.00260417,0.358904,0.358904,0.00277614,1,0.00195312,4.33912,4269307,4,4,0,1,8,150,16,0.4,0.4,0.75,2748416.0,20480.0
0.270841,2.72509,10340,2.74866,2.01883,1.12896,0.0578243,0.690862,0.034092,0.341726,0.00769509,0.458121,0.114628,2.01883,2,0.000287623,0,2.00521,2,0.00260417,0.356658,0.356658,0.00882969,7,0.00117187,9.2659,4269311,5,4,0,1,8,150,8,0.3,0.05,0.75,2662400.0,20480.0
0.33654,28.1245,106254,0.48908,15.9444,9.17409,0.649453,6.45233,0.373454,3.21205,0.211256,4.22627,0.757203,15.9444,13,0.00100183,1,11.9115,12,0.0904751,0.455921,0.455921,0.054078,22,0.049556,54.6025,4269315,6,4,0,1,8,150,4,0.3,0.05,0.75,3260416.0,33792.0
0.325141,20.0592,76478,0.520203,15.0767,7.10055,0.498429,4.83653,0.286156,2.44104,0.0808298,3.23452,0.617319,15.0767,9,0.000873316,0,8.97396,9,0.0524347,0.430918,0.430918,0.0377757,19,0.0255023,43.5712,4263260,6,4,0,1,8,150,4,0.2,0.05,0.75,3043328.0,59392.0
0.552942,35.7175,50532,8.55976,18.1632,7.23082,0.131808,5.22378,0.065994,2.55369,0.0445794,2.90968,0.726385,18.1632,5,0.000606875,0,4.69792,5,0.0132813,0.769109,0.769109,0.0873918,12,0.00596584,71.1425,4269321,5,4,0,1,16,300,8,0.4,0.05,0.75,9764864.0,634880.0
0.409632,1.03706,1406,17.1246,0.800204,0.26877,0.0155161,0.152356,0.00827432,0.0775055,0.00545285,0.102548,0.0282475,0.800204,0,0.00013788,0,0.00260417,0,0.00260417,0.523324,0.523324,0.00464367,1,0.00130208,20.174,4263267,4,4,0,1,16,300,16,0.2,0.4,0.75,3530752.0,18432.0
0.284623,3.4076,12876,1.95345,2.34485,1.36351,0.0664681,0.848006,0.0392542,0.418698,0.00859758,0.555003,0.137447,2.34485,3,0.000312222,0,2.73958,3,0.0143229,0.379158,0.379158,0.0107858,9,0.00382254,9.75343,4263271,5,4,0,1,8,150,8,0.4,0.1,0.75,2662400.0,325632.0
0.300553,2.57161,3485,14.9144,1.91494,0.635733,0.034278,0.378722,0.01707,0.189989,0.00631165,0.247487,0.0669992,1.91494,0,0.000226774,0,0.247396,0,0.0130208,0.454897,0.454897,0.00928706,2,0.00694444,20.8094,4263294,4,4,0,1,16,300,8,0.2,0.05,0.75,3325952.0,77824.0
