,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
885,2.4399,7.59869,3065,103.345,3.26295,0.95763,0.0444748,0.58469,0.0193587,0.293781,0.01086,0.362646,0.0972568,3.26295,0,0.000246952,0,0.00173611,0,0.00173611,1.46959,1.46959,0.0169068,1,0.000651042,119.114,4284941,4,4,0,1,32,600,24,0.4,0.25,0.75,11030528.0,204800.0
886,2.36644,27.2102,11018,187.626,17.5295,3.7099,0.18985,2.20838,0.0788886,1.10599,0.0233601,1.39521,0.400487,17.5295,0,0.000254494,0,0.0130208,0,0.000868056,3.20372,3.20372,0.0802307,2,0.000217014,241.801,4284942,5,4,0,1,32,600,24,0.3,0.5,0.75,11116544.0,205824.0
887,0.181943,0.487208,656,8.4768,0.227383,0.107546,0.0053112,0.0646367,0.00291796,0.032762,0.00270556,0.0418966,0.0106965,0.227383,0,8.45821e-05,0,0.0104167,0,0.00260417,0.173254,0.173254,0.0016997,0,0.00260417,9.66161,4284943,3,4,0,1,16,300,8,0.3,0.5,0.75,2605056.0,19456.0
888,2.50696,382.805,150955,22.7441,437.373,55.4119,2.7676,34.3734,1.06546,17.9703,0.11935,20.4951,8.47162,437.373,4,0.00153421,0,4.04688,4,0.0104167,3.64663,3.64663,0.906756,13,0.00364776,905.956,4284944,6,4,0,1,32,600,8,0.3,0.5,0.75,13533184.0,408576.0
889,0.3137,4.13679,1686,49.1591,1.36667,0.469819,0.0221604,0.295705,0.00934393,0.147781,0.00616781,0.183122,0.0436869,1.36667,0,0.000152937,0,0.0286458,0,0.0078125,0.221681,0.221681,0.00531362,1,0.00585938,55.6807,4284945,3,4,0,1,32,600,8,0.4,0.5,0.75,0.0,0.0
890,0.356057,2.46849,3350,14.9884,1.63255,0.596929,0.0320842,0.35507,0.0161171,0.177966,0.00614349,0.232272,0.063079,1.63255,0,0.000146976,0,0.143229,0,0.0078125,0.536495,0.536495,0.00924554,2,0.00282118,20.5961,4284946,4,4,0,1,16,300,8,0.3,0.5,0.75,0.0,0.0
891,2.13501,7.13987,2886,104.812,3.28729,0.908616,0.0431083,0.552885,0.0188489,0.278029,0.0107565,0.344549,0.0946791,3.28729,0,0.000139244,0,0.00260417,0,0.000868056,1.58928,1.58928,0.0186899,0,0.000868056,119.911,4284947,4,4,0,1,32,600,24,0.4,0.5,0.75,10940416.0,324608.0
892,0.64331,0.841217,1117,17.9153,0.558781,0.214382,0.0121532,0.121332,0.00669561,0.061826,0.00533522,0.0817308,0.0224824,0.558781,0,8.7082e-05,0,0.00173611,0,0.000868056,0.765601,0.765601,0.00446249,0,0.000434028,20.9487,4284948,4,4,0,1,16,300,24,0.3,0.5,0.75,3760128.0,34816.0
893,0.374767,2.62729,3574,14.8752,1.57436,0.623155,0.0314183,0.376098,0.0158341,0.188045,0.00616307,0.242459,0.0655531,1.57436,0,0.00023966,0,0.200521,0,0.0104167,0.522527,0.522527,0.00949996,2,0.00585938,20.6177,4284949,4,4,0,1,16,300,8,0.3,0.25,0.75,0.0,0.0
894,0.503416,1.40564,562,54.7092,0.520601,0.170242,0.0086465,0.100856,0.00423804,0.0516807,0.00505166,0.0644248,0.0153135,0.520601,0,8.57994e-05,0,0.00260417,0,0.0,0.273238,0.273238,0.00259236,0,0.0,57.5909,4284950,3,4,0,1,32,600,24,0.4,0.5,0.75,2916352.0,118784.0
