p,mx,max,r0,rhoin,Cost,MaxRSS,WALLTIME,hash
16,32,4,0.3,0.025,-0.335696567646,7.02414795251,103.869,bebf282a1004
8,16,3,0.3,0.2,-1.66785655652,6.49431491931,9.66843,61a9958cb145
16,16,3,0.5,0.1,-1.35416001323,6.54584723582,9.95457,bcb190510b62
16,32,5,0.2,0.2,0.0177658251751,7.04404529265,234.395,56c9da8d4793
8,8,3,0.4,0.2,-2.3358596641,6.3503472743,2.0766,4df4b5a4c99e
8,32,4,0.2,0.4,-0.598534358223,6.55832065155,113.417,b1aee9c71543
8,32,4,0.5,0.2,-0.552225432584,7.05200837753,126.179,1e767129a033
16,16,3,0.4,0.4,-1.374957037,6.43713641044,9.48911,aa2a76a7ae14
16,32,4,0.2,0.1,-0.294455571601,6.72996263966,114.216,6d361164afb8
8,32,4,0.3,0.05,-0.567052077153,7.02966553121,121.944,01ca663e3087
8,8,5,0.3,0.05,-1.68660152709,6.43124536256,9.26,8e238e30f8d8
16,32,3,0.4,0.05,-0.63037437517,6.35508507927,52.6997,e85744712eb9
16,32,3,0.5,0.4,-0.600092564484,6.45434475256,56.5054,22c797060605
8,32,4,0.4,0.025,-0.607092104707,7.0268318976,111.204,bc8dde2500af
16,32,3,0.2,0.4,-0.584131517992,6.66351247042,58.6207,5436609258c5
16,32,4,0.3,0.4,-0.282518120487,7.03049544639,117.399,eb45304cd444
8,8,4,0.3,0.2,-2.02516809031,6.42393495384,4.24663,578ec1cec00e
8,32,4,0.4,0.1,-0.565587242965,5.47568280809,122.356,5d28518fa15b
16,8,3,0.2,0.05,-1.97004835796,5.29360118534,2.41065,9537d1c86b1c
8,8,5,0.3,0.4,-1.70258579842,6.45807796593,8.92538,99af6990c11f
8,32,4,0.4,0.05,-0.572077723751,7.03016367061,120.541,fce9f3d8900d
16,8,4,0.2,0.025,-1.69793472312,6.43713641044,4.51074,3349ff1b9204
16,32,4,0.2,0.05,-0.289250982932,7.04195075019,115.593,361dac76d96b
8,32,4,0.5,0.05,-0.614242831811,7.02448435414,109.388,1f332b629637
8,32,4,0.3,0.1,-0.579376901427,7.02850097914,118.532,88d355071183
16,16,4,0.5,0.4,-1.01946539116,6.56804769828,21.5138,b79ccfd58f79
16,32,5,0.5,0.05,0.293929946897,7.13362882357,442.703,d4e50e9ed2b9
8,16,4,0.4,0.025,-1.40014360233,6.52030846958,17.9089,862c34d39491
16,16,5,0.4,0.2,-0.659307410249,6.94378724449,49.3032,4f0fe0e0c0a1
16,16,3,0.3,0.4,-1.37227101749,6.48393288351,9.54798,631dc8f923bd
8,8,5,0.4,0.05,-1.62545530908,6.42460464477,10.66,34ab48580654
16,16,3,0.2,0.2,-1.36561678678,6.53404642345,9.6954,758a2ca081c0
8,8,4,0.4,0.2,-2.00463784847,6.42124581533,4.4522,533cfcf19ca5
16,8,3,0.4,0.1,-2.02593475415,6.43124536256,2.11957,d0a34a581ce6
8,32,5,0.3,0.2,-0.23116793583,7.03854577321,264.268,f085087b9167
16,16,5,0.5,0.4,-0.662712049805,6.51381826936,48.9182,3b7d5dcff74e
16,16,4,0.5,0.2,-1.0233342112,6.5402433583,21.323,589e9fe4906f
16,8,3,0.3,0.2,-2.02595319531,6.43972922102,2.11948,ea1d26418df3
16,16,5,0.2,0.025,-0.571095250265,6.3113299523,60.407,c3019539c6b8
8,32,4,0.2,0.2,-0.580819223369,7.040494742,118.139,ee11fbde54ae
8,32,3,0.5,0.2,-0.903684895157,6.43124536256,56.173,cbdfd56f7dae
16,16,4,0.4,0.1,-1.01636168689,6.07325779072,21.6681,9b4aaec9d534
16,8,5,0.4,0.1,-1.40366637074,6.44037501219,8.88211,e7444347780f
16,32,4,0.5,0.025,-0.333249127007,7.06628954003,104.456,bfb042f59eb9
8,32,5,0.4,0.05,0.118684227487,7.20862707436,591.421,08371118f03f
16,8,5,0.4,0.4,-1.37475204621,6.45371941842,9.49359,f519b8d2229c
16,32,3,0.4,0.1,-0.593453007157,6.40893428118,57.3759,6959e63afb1d
16,8,5,0.3,0.2,-1.38152375005,6.4410198445,9.34671,c1bb8f1b0a95
8,32,3,0.3,0.2,-0.905858201272,6.43190388351,55.8926,ca81d6c25dd7
16,32,5,0.5,0.025,0.282432777316,7.13245027608,431.137,57f331ab4070
16,16,4,0.2,0.1,-1.04115591445,6.54075580022,20.4657,43e600807e7a
8,32,3,0.2,0.025,-0.898641735579,6.73621158893,56.8291,64cfdbbec733
8,16,3,0.3,0.4,-1.67677632647,6.47029521269,9.47188,8c30bcc11a1d
16,16,5,0.4,0.05,-0.585395773563,6.47568280809,58.4503,c3d95fe96b53
16,32,5,0.4,0.05,0.30342934701,7.13192544885,452.493,3e3edd4c8046
16,32,5,0.2,0.025,-0.00644425086395,7.03511388927,221.686,2735f0e1755d
16,32,5,0.3,0.05,0.0626471548448,7.03675150238,259.914,3998b245d9fd
16,16,4,0.3,0.025,-1.05491455956,6.51599246405,19.8275,cb179275f710
8,16,3,0.4,0.05,-1.67105167795,6.52191597721,9.59756,ce47443ec574
16,32,5,0.4,0.025,0.293407737651,7.13623642361,442.171,6329c409fbe4
8,16,5,0.5,0.05,-0.768980342372,6.52986545752,76.6006,288dcfe0dd3a
16,16,4,0.3,0.4,-1.00357589604,6.93312917631,22.3155,f53639c0403a
16,16,4,0.4,0.2,-1.03168727428,6.52986545752,20.9168,a95b182df3f8
16,8,5,0.2,0.05,-1.39933294756,6.4410198445,8.97118,4b37471a5ad3
8,16,3,0.4,0.1,-1.67882702886,6.48334876173,9.42726,549ca353e527
8,32,3,0.4,0.2,-0.898521770954,6.38614639295,56.8448,792c4e5c25d8
16,16,3,0.4,0.2,-1.36326655208,6.54786721379,9.74801,078ae523aa81
8,8,3,0.3,0.4,-2.33222546658,6.3969772406,2.09405,ff716ad65ba5
8,32,4,0.3,0.025,-0.604126350517,7.02414795251,111.966,864eb39e8c7e
16,8,3,0.3,0.025,-2.01430812999,6.43583417714,2.17708,f5b9e1cb434e
8,16,4,0.3,0.05,-1.27833957794,6.92622716834,23.7068,da5845d3572e
